Symbol,Buy,Sell,Net,Timestamp
SHIB/USDT,121066506460.11206,121594098803.95634,-527592343.84428406,2025-10-05 19:13:23
LTC/USDT,38170.390799999994,45061.816199999994,-6891.4254,2025-10-05 19:13:23
ATOM/USDT,38405.35898,39732.65902000001,-1327.3000400000092,2025-10-05 19:13:23
XLM/USDT,1921473.4139999999,2600393.076,-678919.662,2025-10-05 19:13:23
UNI/USDT,133182.81996,177778.49524,-44595.675279999996,2025-10-05 19:13:23
ICP/USDT,45094.32022,52960.470279999994,-7866.150059999993,2025-10-05 19:13:23
APT/USDT,133881.43492700803,126158.933340512,7722.50158649603,2025-10-05 19:13:23
NEAR/USDT,615159.5446000001,766890.3367,-151730.79209999985,2025-10-05 19:13:23
AAPL,49107000.0,0.0,49107000.0,2025-10-05 19:13:23
MSFT,15104200.0,0.0,15104200.0,2025-10-05 19:13:23
GOOG,19935800.0,0.0,19935800.0,2025-10-05 19:13:23
GC=F,0.0,0.0,0.0,2025-10-05 19:13:23
CL=F,0.0,0.0,0.0,2025-10-05 19:13:23
TSLA,0.0,132772600.0,-132772600.0,2025-10-05 19:13:23
NVDA,0.0,137340500.0,-137340500.0,2025-10-05 19:13:23
BTC/USDT,1259.0015321268666,1376.8202242652992,-117.81869213843265,2025-10-05 19:37:21
ETH/USDT,44636.23280142999,55472.68958086,-10836.45677943001,2025-10-05 19:37:21
BNB/USDT,1535.44146,1722.23224,-186.79078000000004,2025-10-05 19:37:21
XRP/USDT,4523275.24121208,6102255.35296812,-1578980.1117560398,2025-10-05 19:37:21
SOL/USDT,67164.66122472401,79674.517222776,-12509.855998051993,2025-10-05 19:37:21
DOGE/USDT,18241180.631179195,22281363.53889106,-4040182.9077118635,2025-10-05 19:37:21
ADA/USDT,6303232.64261014,8490429.37391521,-2187196.73130507,2025-10-05 19:37:21
TRX/USDT,2235522.984,2562686.356,-327163.372,2025-10-05 19:37:21
AVAX/USDT,68268.865695302,87523.59989686802,-19254.734201566025,2025-10-05 19:37:21
DOT/USDT,155471.87424,189635.84716,-34163.97292,2025-10-05 19:37:21
